,n_word,n_firstSound,n_word_len,adj,adj_len,ncomp,ncomp_len,ncomp_lemma,ncomp_lemma_len,nmod,nmod_len,nmod_lemma,nmod_lemma_len,n_id,sen_id
54.0,heartland,Consonant,9,Sunni,5,,0,,0,,0,,0,16,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0006
55.0,ways,Consonant,4,bad,3,,0,,0,,0,,0,26,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0006
56.0,standing,Consonant,8,,0,,0,,0,,0,,0,32,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0006
57.0,analyst,Consonant,7,,0,,0,,0,,0,,0,6,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0001
58.0,day,Consonant,3,,0,analyst,7,analyst,7,,0,,0,7,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0001
59.0,chance,Consonant,6,,0,,0,,0,,0,,0,10,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0001
60.0,company,Consonant,7,,0,,0,,0,,0,,0,14,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0001
61.0,story,Consonant,5,,0,,0,,0,,0,,0,16,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0001
62.0,number,Consonant,6,miniscule,9,,0,,0,people,6,people,6,21,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0001
63.0,people,Consonant,6,,0,,0,,0,,0,,0,24,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0001
64.0,chance,Consonant,6,concerned,9,,0,,0,,0,,0,7,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0002
65.0,suckups,Consonant,7,,0,,0,,0,,0,,0,10,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0002
66.0,time,Consonant,4,,0,,0,,0,,0,,0,17,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0002
67.0,people,Consonant,6,,0,,0,,0,,0,,0,18,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0002
68.0,company,Consonant,7,,0,,0,,0,,0,,0,24,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0002
69.0,plans,Consonant,5,,0,,0,,0,,0,,0,26,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0002
70.0,company,Consonant,7,,0,,0,,0,,0,,0,15,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0003
71.0,goals,Consonant,5,,0,,0,,0,,0,,0,18,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0003
72.0,company,Consonant,7,,0,,0,,0,,0,,0,30,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0003
73.0,history,Consonant,7,eventually,10,,0,,0,,0,,0,33,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0003
74.0,environment,Consonant,11,freewheeling,12,,0,,0,,0,,0,8,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0004
75.0,proof,Consonant,5,mathematical,12,,0,,0,,0,,0,22,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0004
76.0,company,Consonant,7,,0,,0,,0,,0,,0,26,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0004
77.0,self,Consonant,4,,0,,0,,0,,0,,0,28,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0004
78.0,research,Consonant,8,,0,,0,,0,,0,,0,31,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0004
79.0,strategy,Consonant,8,,0,research,8,research,8,,0,,0,32,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0004
80.0,employees,Consonant,9,,0,,0,,0,,0,,0,36,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0004
81.0,day,Consonant,3,,0,,0,,0,,0,,0,38,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0004
82.0,week,Consonant,4,,0,,0,,0,,0,,0,40,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0004
83.0,research,Consonant,8,,0,,0,,0,,0,,0,43,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0004
84.0,projects,Consonant,8,,0,research,8,research,8,,0,,0,44,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0004
85.0,idea,Vowel,4,"good, respectable","4, 11",,0,,0,,0,,0,54,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0004
86.0,article,Consonant,7,entire,6,,0,,0,,0,,0,4,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0005
87.0,punchline,Consonant,9,,0,,0,,0,,0,,0,9,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0005
88.0,opinion,Vowel,7,,0,,0,,0,,0,,0,2,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0001
89.0,piece,Consonant,5,,0,opinion,7,opinion,7,implications,12,implication,11,3,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0001
90.0,implications,Vowel,12,,0,,0,,0,passing,7,passing,7,6,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0001
91.0,passing,Consonant,7,,0,,0,,0,,0,,0,10,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0001
92.0,Excerpt,Consonant,7,,0,,0,,0,,0,,0,1,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0002
93.0,nationalism,Consonant,11,secular,7,,0,,0,,0,,0,5,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0003
94.0,state,Consonant,5,,0,,0,,0,,0,,0,19,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0003
95.0,solution,Consonant,8,,0,state,5,state,5,,0,,0,20,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0003
96.0,road,Consonant,4,,0,,0,,0,negotiations,12,negotiation,11,25,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0003
97.0,negotiations,Consonant,12,,0,,0,,0,,0,,0,27,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0003
98.0,colonization,Consonant,12,Israeli,7,,0,,0,1990s,5,1990,4,4,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0004
99.0,1990s,Consonant,5,,0,,0,,0,,0,,0,12,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0004
100.0,attacks,Consonant,7,terrorist,9,,0,,0,groups,6,group,5,18,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0004
101.0,groups,Consonant,6,radical,7,,0,,0,,0,,0,21,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0004
102.0,peace,Consonant,5,,0,,0,,0,,0,,0,29,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0004
103.0,process,Consonant,7,,0,peace,5,peace,5,,0,,0,30,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0004
104.0,death,Consonant,5,,0,,0,,0,,0,,0,3,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0005
105.0,vacuum,Consonant,6,,0,,0,,0,leadership,10,leadership,10,6,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0005
106.0,leadership,Consonant,10,Palestinian,11,,0,,0,,0,,0,9,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0005
107.0,assassination,Consonant,13,,0,,0,,0,leaders,7,leader,6,3,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0006
108.0,leaders,Consonant,7,major,5,,0,,0,,0,,0,7,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0006
109.0,authority,Consonant,9,,0,,0,,0,,0,,0,11,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0006
110.0,structures,Consonant,10,,0,authority,9,authority,9,party,5,party,5,12,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0006
111.0,party,Consonant,5,,0,,0,,0,,0,,0,15,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0006
112.0,leadership,Consonant,10,Palestinian,11,,0,,0,,0,,0,7,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0007
113.0,way,Consonant,3,,0,,0,,0,,0,,0,12,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0007
114.0,peace,Consonant,5,,0,,0,,0,,0,,0,16,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0007
115.0,process,Consonant,7,,0,peace,5,peace,5,,0,,0,17,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0007
116.0,cells,Consonant,5,,0,,0,,0,,0,,0,19,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0007
117.0,cues,Consonant,4,,0,,0,,0,,0,,0,34,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0007
118.0,leaders,Consonant,7,"local, Palestinian","5, 11",,0,,0,,0,,0,5,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0008
119.0,struggle,Consonant,8,Palestinian,11,,0,,0,,0,,0,21,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0008
120.0,recruiting,Consonant,10,,0,,0,,0,,0,,0,26,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0008
121.0,posters,Consonant,7,best,4,recruiting,10,recruiting,10,,0,,0,27,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0008
122.0,men,Consonant,3,"young, Muslim","5, 6",,0,,0,,0,,0,35,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0008
123.0,conflict,Consonant,8,,0,,0,,0,,0,,0,3,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0009
124.0,weapon,Consonant,6,effective,9,,0,,0,,0,,0,9,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0009
125.0,war,Consonant,3,,0,,0,,0,terror,6,terror,6,17,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0009
126.0,terror,Consonant,6,,0,,0,,0,,0,,0,19,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0009
127.0,range,Consonant,5,wide,4,,0,,0,forces,6,force,5,6,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0001
128.0,forces,Consonant,6,"Iraqi, political","5, 9",,0,,0,,0,,0,10,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0001
129.0,murder,Consonant,6,,0,,0,,0,,0,,0,16,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0001
130.0,leader,Consonant,6,religious,9,,0,,0,,0,,0,24,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0001
131.0,day,Consonant,3,,0,,0,,0,,0,,0,29,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0001
132.0,Board,Consonant,5,,0,,0,,0,clerics,7,cleric,6,2,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0002
133.0,clerics,Consonant,7,Muslim,6,,0,,0,,0,,0,5,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0002
134.0,km,Consonant,2,,0,,0,,0,,0,,0,10,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0002
135.0,assassination,Consonant,13,,0,,0,,0,,0,,0,18,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0002
136.0,revenge,Consonant,7,immediate,9,,0,,0,soldiers,8,soldier,7,22,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0002
137.0,coalition,Consonant,9,,0,,0,,0,,0,,0,25,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0002
138.0,soldiers,Consonant,8,,0,coalition,9,coalition,9,,0,,0,26,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0002
139.0,strike,Consonant,6,general,7,,0,,0,,0,,0,16,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0003
140.0,troops,Consonant,6,,0,,0,,0,,0,,0,2,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0004
141.0,guerrillas,Consonant,10,,0,,0,,0,,0,,0,6,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0004
142.0,fight,Consonant,5,,0,,0,,0,,0,,0,9,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0004
143.0,demonstration,Consonant,13,big,3,,0,,0,,0,,0,8,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0005
144.0,cleric,Consonant,6,"Radical, Shiite","7, 6",,0,,0,,0,,0,3,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0006
145.0,attack,Consonant,6,,0,,0,,0,,0,,0,10,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0006
146.0,choice,Consonant,6,,0,,0,,0,,0,,0,24,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0006
147.0,fighting,Consonant,8,,0,,0,,0,,0,,0,31,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0006
148.0,jihad,Consonant,5,,0,,0,,0,,0,,0,33,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0006
149.0,communique,Consonant,10,,0,,0,,0,,0,,0,7,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0007
150.0,proof,Consonant,5,,0,,0,,0,emptiness,9,emptiness,9,14,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0007
151.0,emptiness,Consonant,9,,0,,0,,0,authority,9,authority,9,17,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0007
152.0,authority,Consonant,9,Israeli,7,,0,,0,,0,,0,21,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0007
153.0,destruction,Consonant,11,,0,,0,,0,endeavors,9,endeavor,8,24,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0007
154.0,peace,Consonant,5,,0,,0,,0,,0,,0,27,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0007
155.0,endeavors,Consonant,9,,0,peace,5,peace,5,region,6,region,6,28,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0007
156.0,region,Consonant,6,,0,,0,,0,,0,,0,31,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0007
157.0,operation,Vowel,9,,0,,0,,0,,0,,0,2,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0008
158.0,acts,Consonant,4,terrorist,9,,0,,0,world,5,world,5,8,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0008
159.0,world,Consonant,5,,0,,0,,0,,0,,0,11,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0008
160.0,peace,Consonant,5,,0,,0,,0,,0,,0,16,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0008
161.0,region,Consonant,6,,0,,0,,0,,0,,0,19,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0008
162.0,message,Consonant,7,,0,,0,,0,,0,,0,23,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0008
163.0,occupation,Vowel,10,American,8,,0,,0,,0,,0,14,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0009
164.0,case,Consonant,4,,0,,0,,0,,0,,0,20,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0009
165.0,people,Consonant,6,Palestinian,11,,0,,0,occupation,10,occupation,10,26,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0009
166.0,occupation,Vowel,10,Israeli,7,,0,,0,,0,,0,31,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0009
167.0,incidents,Vowel,9,unrelated,9,,0,,0,,0,,0,5,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0010
168.0,snipers,Consonant,7,,0,,0,,0,,0,,0,13,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0010
169.0,group,Consonant,5,,0,,0,,0,"trainees, bus","8, 3","trainee, bus","7, 3",19,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0010
170.0,police,Consonant,6,,0,,0,,0,,0,,0,21,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0010
171.0,trainees,Consonant,8,,0,police,6,police,6,,0,,0,22,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0010
172.0,bus,Consonant,3,,0,,0,,0,,0,,0,25,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0010
173.0,police,Consonant,6,,0,,0,,0,,0,,0,30,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0010
174.0,whispers,Consonant,8,first,5,,0,,0,IPO,3,ipo,3,5,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
175.0,IPO,Vowel,3,,0,,0,,0,,0,,0,9,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
176.0,investors,Vowel,9,most,4,,0,,0,,0,,0,12,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
177.0,stock,Consonant,5,,0,,0,,0,,0,,0,17,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
178.0,price,Consonant,5,high,4,,0,,0,,0,,0,26,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
179.0,business,Consonant,8,,0,,0,,0,,0,,0,34,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
180.0,model,Consonant,5,profitable,10,business,8,business,8,,0,,0,35,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
181.0,execution,Consonant,9,flawless,8,,0,,0,,0,,0,40,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
182.0,price,Consonant,5,,0,,0,,0,,0,,0,43,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
183.0,investors,Vowel,9,,0,,0,,0,,0,,0,49,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
184.0,profit,Consonant,6,real,4,,0,,0,,0,,0,54,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
185.0,people,Consonant,6,,0,,0,,0,,0,,0,3,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0004
186.0,search,Consonant,6,,0,,0,,0,,0,,0,20,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0006
187.0,engine,Consonant,6,"great, successful","5, 10",search,6,search,6,support,7,support,7,21,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0006
188.0,grass,Consonant,5,,0,,0,,0,,0,,0,25,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0006
189.0,roots,Consonant,5,,0,grass,5,grass,5,,0,,0,27,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0006
190.0,support,Consonant,7,real,4,roots,5,root,4,,0,,0,28,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0006
191.0,grace,Consonant,5,,0,,0,,0,simplicity,10,simplicity,10,33,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0006
192.0,simplicity,Consonant,10,,0,,0,,0,,0,,0,35,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0006
193.0,Simplicity,Consonant,10,,0,,0,,0,,0,,0,1,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0007
194.0,lack,Consonant,4,"blessed, laudatory","7, 9",,0,,0,clutter,7,clutter,7,8,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0007
195.0,clutter,Consonant,7,,0,,0,,0,,0,,0,10,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0007
196.0,text,Consonant,4,,0,,0,,0,,0,,0,16,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0007
197.0,ads,Consonant,3,efficient,9,,0,,0,,0,,0,19,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0007
198.0,support,Consonant,7,,0,,0,,0,,0,,0,23,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0007
199.0,connection,Consonant,10,,0,,0,,0,,0,,0,31,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0007
200.0,problem,Consonant,7,,0,,0,,0,,0,,0,2,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0008
